,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
0,FIN,82.74999999999999,Finland,88.15126050420169,2020.0,5525215.0,86.4,99.5,62.4,95.5,97.2,91.2,94.3,93.0,86.5,95.9,98.5,91.2,57.7,68.8,88.1,85.1,92.5,71.4,89.91428571428571,85.76708683473389,1,86.78571428571429,85.89565826330532,1
1,NOR,83.99999999999999,Norway,87.73109243697479,2020.0,5367955.0,82.2,99.2,61.7,97.1,98.0,88.9,83.7,98.5,85.2,92.2,99.4,93.2,41.3,20.5,74.6,74.1,92.4,96.8,83.72857142857143,84.6436974789916,2,81.19591836734693,84.30900360144058,4
2,SWE,83.25000000000001,Sweden,83.27731092436974,2020.0,10321414.0,86.3,98.8,64.8,96.7,99.8,91.1,95.1,98.0,84.2,98.5,95.0,92.4,56.0,69.9,69.4,80.2,88.8,87.8,90.67142857142856,84.27577030812326,3,88.5,85.00910364145659,2
3,DNK,82.0,Denmark,85.63025210084034,2020.0,5810778.0,85.1,99.2,72.1,95.3,99.3,86.8,90.7,87.7,86.7,96.6,98.2,91.8,37.3,61.1,76.1,92.8,93.2,81.3,88.2,84.24341736694677,4,84.89319727891157,84.17448312658397,5
4,CHE,82.62500000000001,Switzerland,84.9579831932773,2020.0,8606431.0,80.9,99.4,70.6,97.1,98.5,85.1,90.5,83.4,81.0,97.0,82.4,99.1,48.2,61.1,,66.4,82.9,52.1,85.87142857142858,82.82766106442577,5,83.45510204081633,83.67936174469787,6
5,ISL,,Iceland,86.47058823529413,2020.0,364340.0,78.1,99.8,57.1,96.8,98.1,87.0,59.8,99.6,76.5,87.3,100.0,91.2,37.7,51.4,62.2,54.0,94.2,74.1,86.11428571428571,82.28529411764706,6,83.30136054421769,84.88597438975592,3
6,NZL,81.375,New Zealand,86.1344537815126,2020.0,5026496.0,76.8,,59.5,93.1,94.1,90.3,89.6,84.3,87.5,88.7,81.3,87.2,43.4,65.7,53.2,49.6,89.3,71.8,83.97142857142858,81.43648459383753,7,80.97210884353741,82.82718754168333,7
7,LUX,,Luxembourg,84.03361344537815,2020.0,626079.0,78.1,100.0,59.1,96.8,98.3,81.3,81.6,56.5,85.3,88.8,84.0,97.6,39.5,49.8,,67.8,90.8,72.2,79.82857142857142,81.06680672268908,8,76.25850340136054,80.14605842336934,11
8,DEU,78.75,Germany,81.00840336134455,2020.0,83267655.0,83.0,99.5,72.4,94.2,97.2,80.0,88.4,77.2,86.6,95.1,88.1,91.3,53.1,64.7,74.0,79.3,90.3,80.5,85.31428571428572,80.91946778711485,9,82.02244897959183,80.5936174469788,8
9,IRL,79.125,Ireland,83.36134453781513,2020.0,4925074.0,79.3,99.9,67.7,94.8,99.0,76.5,82.9,74.8,85.6,86.0,90.3,88.8,46.4,54.8,72.5,88.7,88.1,51.0,82.15714285714284,80.59544817927171,10,78.91292517006802,80.46642323596105,9
10,CAN,78.49999999999999,Canada,83.94957983193278,2020.0,37758232.0,78.4,99.6,65.4,94.0,99.4,82.7,86.1,80.3,82.8,86.7,89.3,92.7,51.7,39.9,62.2,60.8,83.0,76.5,80.81428571428572,80.28319327731093,11,76.93537414965986,79.79498466053087,13
11,AUT,78.25,Austria,79.49579831932773,2020.0,8901106.0,83.1,99.4,73.1,92.8,97.9,84.0,92.2,86.0,82.6,96.3,94.6,90.9,49.6,57.8,,73.6,90.5,68.4,85.85714285714285,80.28193277310923,12,81.90544217687075,79.88374683206615,12
12,NLD,79.125,Netherlands,82.26890756302521,2020.0,17402277.0,79.3,99.2,67.7,96.0,99.3,82.0,87.2,72.0,86.5,93.3,89.8,96.5,47.7,43.7,55.3,78.2,87.3,67.3,82.54285714285716,80.2313025210084,13,79.07551020408164,80.15647258903562,10
13,AUS,78.25,Australia,81.76470588235294,2020.0,25544179.0,75.4,99.3,56.7,95.4,89.6,81.1,93.9,72.2,84.1,92.2,79.2,89.0,46.7,16.0,65.9,64.1,83.7,71.9,75.44285714285715,78.47156862745098,14,72.22244897959183,77.41238495398159,15
14,FRA,74.875,France,74.87394957983193,2020.0,64457760.0,81.6,99.7,71.3,93.4,99.6,87.5,89.3,78.6,84.5,92.6,87.5,89.3,58.8,74.5,65.6,69.5,75.2,71.2,85.77142857142857,77.11631652661065,15,82.63809523809525,77.46234827264239,14
15,SVN,72.625,Slovenia,77.56302521008404,2020.0,2116252.0,81.0,99.3,66.9,93.0,95.6,77.2,87.8,80.2,84.3,80.4,100.0,87.3,54.1,68.9,71.3,83.3,82.3,64.5,84.87142857142855,77.06267507002802,16,79.9673469387755,76.71845738295319,18
16,PRT,72.875,Portugal,77.73109243697479,2020.0,10298399.0,79.7,99.9,63.3,91.8,98.6,83.5,80.3,83.5,81.5,79.5,84.4,88.4,66.4,83.9,49.5,73.8,82.8,63.5,84.71428571428571,76.7686974789916,17,77.7326530612245,76.11291516606643,20
17,JPN,74.875,Japan,74.78991596638656,2020.0,125542770.0,79.0,99.3,74.6,94.4,93.9,60.9,84.9,72.6,87.8,94.6,80.5,85.8,60.9,73.9,55.7,63.3,87.1,73.0,84.22857142857141,76.22163865546219,18,82.12448979591836,77.26313525410164,16
18,BEL,74.75,Belgium,74.03361344537815,2020.0,11541273.0,79.4,99.4,71.2,93.2,95.3,87.2,70.6,74.0,84.5,96.4,100.0,90.2,44.9,53.6,56.7,82.0,85.4,65.7,84.55714285714286,76.06120448179271,19,80.22993197278912,76.33784847272243,19
19,GBR,77.125,United Kingdom,66.72268907563026,2020.0,66951174.0,81.3,98.9,67.1,93.2,98.2,83.6,94.4,74.8,82.1,91.6,71.5,93.3,54.2,71.4,76.1,86.2,82.1,63.9,82.55714285714285,75.04922969187675,20,78.7469387755102,74.19820928371348,23
20,EST,74.0,Estonia,69.15966386554622,2020.0,1329086.0,81.1,100.0,64.8,89.9,96.0,77.3,84.1,78.0,80.5,81.3,89.1,92.5,52.2,62.8,87.6,96.1,90.5,55.1,82.0142857142857,74.7532212885154,21,74.78367346938775,72.64777911164465,24
21,KOR,72.75,South Korea,73.36134453781513,2020.0,51858128.0,77.8,99.5,81.8,92.4,92.3,65.8,74.0,70.6,84.3,99.0,82.6,86.5,70.5,70.3,55.4,54.6,79.3,63.4,83.67142857142856,74.63711484593837,22,79.81156462585034,75.30763638788848,21
22,SGP,74.125,Singapore,79.15966386554622,2020.0,5893519.0,70.5,,76.2,94.6,98.6,74.2,74.2,72.0,74.7,91.5,,96.1,44.1,58.2,47.2,27.0,83.1,45.9,81.18333333333332,74.59488795518207,23,78.05,77.11155462184875,17
23,MLT,,Malta,71.68067226890756,2020.0,509595.0,75.7,99.7,66.3,91.3,99.0,63.7,48.7,72.1,86.1,72.8,86.6,90.3,53.6,79.5,69.5,82.7,68.6,56.7,82.67142857142858,73.69033613445379,24,78.44761904761906,75.0641456582633,22
24,URY,71.125,Uruguay,71.26050420168067,2020.0,3428271.0,77.2,98.2,66.5,84.4,90.7,74.5,75.8,97.5,81.2,58.1,51.8,92.5,70.5,92.7,59.9,58.0,81.1,78.3,79.74285714285715,73.1951680672269,25,72.60204081632654,71.66251500600241,27
25,CZE,69.75,Czechia,67.3109243697479,2020.0,10537911.0,81.8,99.9,61.9,90.5,93.9,72.9,82.9,76.0,86.0,83.5,100.0,95.3,58.2,73.1,,92.7,81.9,61.0,86.34285714285714,72.95364145658264,26,79.71292517006802,72.25794984660531,26
26,SVK,67.99999999999999,Slovakia,69.66386554621849,2020.0,5457552.0,79.6,99.1,72.6,88.5,82.0,71.8,81.8,77.2,79.4,71.3,100.0,86.8,66.2,71.9,,89.2,79.0,57.5,82.15714285714286,72.42128851540615,27,76.35442176870748,71.33942910497531,28
27,ESP,72.625,Spain,63.52941176470588,2020.0,47329954.0,80.0,98.6,65.9,94.8,97.4,86.5,87.4,78.1,77.7,90.1,81.4,91.5,64.3,80.9,59.6,66.5,80.4,59.6,84.92857142857142,72.05147058823529,28,80.91904761904762,72.3578197945845,25
28,CRI,71.24999999999999,,,2020.0,5105359.0,72.3,92.8,53.5,87.6,89.7,81.3,74.5,85.5,71.0,57.3,19.3,88.8,77.0,90.0,56.3,64.1,76.2,64.8,71.35714285714286,71.77499999999999,29,68.9,70.07499999999999,30
29,LTU,69.875,Lithuania,68.40336134453783,2020.0,2835900.0,76.3,100.0,61.1,85.3,98.1,74.4,78.8,69.9,77.2,72.0,70.9,85.7,51.7,58.6,82.2,95.3,80.7,54.6,74.22857142857141,71.52612044817927,30,70.3455782312925,69.54131319194344,34
30,LVA,68.875,Latvia,64.87394957983193,2020.0,1907244.0,80.5,100.0,65.6,85.0,97.8,78.0,89.2,88.9,82.9,72.8,72.6,89.5,61.7,72.0,84.1,97.9,81.2,49.3,80.52857142857144,71.41631652661064,31,75.24965986394558,69.66620314792584,33
31,ITA,70.0,Italy,64.36974789915966,2020.0,59639898.0,78.6,97.3,69.9,94.2,94.2,73.5,80.8,76.9,78.6,86.6,77.9,77.3,70.8,80.7,62.6,79.9,73.6,61.8,81.74285714285715,70.98991596638656,32,77.4,70.58991596638656,29
32,POL,66.75,Poland,65.3781512605042,2020.0,38477966.0,80.6,98.9,67.7,84.1,97.4,72.0,84.4,71.2,85.3,79.0,93.4,81.7,73.8,76.4,72.5,92.7,77.7,61.6,81.58571428571429,70.90938375350139,33,75.66054421768708,69.26289849273041,35
33,USA,73.87499999999999,USA,61.68067226890757,2020.0,335388238.0,75.6,98.8,68.7,89.2,93.9,76.5,83.6,73.5,79.7,97.7,56.8,92.6,54.3,53.9,65.7,60.4,69.3,70.5,77.62857142857142,70.38522408963586,34,73.48503401360544,69.68023542750433,32
34,CHL,68.75000000000001,Chile,64.53781512605042,2020.0,19206688.0,77.4,94.1,71.1,87.9,97.7,70.0,89.4,81.3,80.1,73.7,25.5,86.3,77.9,82.3,80.1,61.4,73.1,83.7,73.87142857142858,70.22927170868347,35,67.90816326530613,67.06532613045219,39
35,ISR,68.37499999999999,Israel,65.0420168067227,2020.0,8685594.0,73.9,98.5,56.1,95.6,99.6,75.3,68.2,71.7,83.6,95.2,71.6,83.4,67.5,66.9,37.5,49.4,71.9,64.5,81.14285714285714,69.10567226890757,36,76.37278911564626,69.92993530745632,31
36,HRV,65.25,Croatia,59.411764705882355,2020.0,4114639.0,81.6,100.0,74.2,88.1,95.6,69.5,86.4,83.2,81.2,74.8,94.2,82.0,72.6,83.9,84.8,88.2,73.4,55.3,83.91428571428571,68.75392156862745,37,78.48707482993197,67.71627984527144,36
37,HUN,65.0,Hungary,58.15126050420169,2020.0,9770120.0,79.6,98.8,71.7,83.8,92.8,64.3,86.6,73.9,81.9,77.7,92.7,88.5,74.0,78.1,,86.5,69.5,53.2,82.37142857142858,67.58375350140057,38,77.62993197278912,66.92706415899694,40
38,ARE,63.87499999999999,United Arab Emirates,67.98319327731093,2020.0,9247550.0,69.6,99.6,64.8,85.0,97.1,76.6,58.0,69.2,64.1,85.0,100.0,84.0,49.3,9.8,72.7,56.2,73.7,38.6,71.0142857142857,67.15273109243698,39,63.11768707482993,64.99196011738029,42
39,MUS,63.0,Mauritius,68.99159663865545,2020.0,1296960.0,68.9,97.4,71.5,77.2,95.4,52.0,71.1,70.3,72.3,50.8,65.3,92.6,75.2,91.9,48.7,27.4,62.4,50.0,74.34285714285714,66.96386554621849,40,70.76326530612245,67.58495398159262,37
40,CRC,,Costa Rica,66.38655462184875,,,,,,,,,,,,,,,,,,,,,,66.38655462184875,41,,66.38655462184875,41
41,GRC,66.625,Greece,53.94957983193277,2020.0,10543346.0,77.8,99.0,66.5,90.2,97.1,64.6,87.7,76.4,69.0,78.8,84.6,78.3,66.9,80.4,65.9,81.3,75.3,60.6,79.67142857142858,66.12485994397758,42,73.78571428571429,64.78676470588236,43
42,ROU,62.999999999999986,Romania,58.15126050420169,2020.0,19489730.0,77.1,98.1,69.6,81.4,84.5,57.4,76.3,76.4,82.0,64.7,77.2,85.7,78.6,87.7,86.4,79.5,73.9,50.9,79.3,66.08375350140055,43,72.72585034013605,64.62570361477924,44
43,BRB,,Barbados,62.26890756302521,2020.0,280427.0,69.8,,56.7,83.4,90.4,72.1,52.4,70.7,66.9,53.1,,90.5,55.0,90.5,63.9,65.2,70.0,66.1,75.85000000000001,66.03445378151261,44,72.87857142857143,67.57373949579832,38
44,ARG,61.75,Argentina,60.588235294117645,2020.0,44908441.0,72.7,95.9,68.9,80.0,97.9,80.0,77.9,73.0,73.0,52.8,41.1,80.9,78.1,89.4,61.5,59.1,62.5,64.1,70.02857142857144,65.01274509803922,45,65.45238095238095,62.59687208216619,48
45,BGR,61.75000000000001,Bulgaria,57.478991596638664,2020.0,7020235.0,74.7,100.0,65.2,79.4,79.4,72.0,66.3,71.3,80.2,64.6,51.0,79.3,75.7,85.6,65.5,94.2,69.2,71.6,73.05714285714285,64.64299719887957,46,70.121768707483,63.11692010137389,46
46,CYP,66.25000000000001,Cyprus,53.02521008403362,2020.0,888005.0,72.7,99.9,54.5,91.8,93.9,71.2,67.9,74.1,73.7,75.1,85.5,81.1,48.2,68.6,50.1,78.6,76.7,45.9,78.55714285714285,63.991736694677876,47,73.37482993197278,64.21668000533548,45
47,PAN,62.875,Panama,60.92436974789916,2020.0,4265541.0,66.9,93.2,49.8,79.2,75.2,65.6,71.2,71.5,68.3,46.6,18.6,94.5,75.9,72.2,70.3,67.2,62.4,55.2,64.41428571428573,63.56645658263306,48,61.14557823129252,61.648315993063896,49
48,QAT,58.499999999999986,Qatar,65.29411764705883,2020.0,2828630.0,64.1,,69.4,87.6,92.7,57.9,52.9,66.7,69.9,82.2,,57.1,55.8,0.0,79.8,68.6,78.3,42.2,60.58333333333334,62.6313725490196,49,52.75873015873016,58.85094926859633,59
49,TTO,65.125,Trinidad and Tobago,56.80672268907563,2020.0,1513900.0,64.4,98.0,54.1,81.5,85.5,66.6,70.6,56.2,74.6,39.6,,78.7,61.9,40.9,51.5,53.6,57.7,59.2,61.91666666666666,62.11057422969188,50,57.96825396825396,59.96665888577653,52
50,MYS,63.25,Malaysia,53.445378151260506,2020.0,33003638.0,69.4,98.8,49.4,80.2,89.2,57.3,76.3,68.3,78.3,78.7,47.4,86.1,72.1,77.6,68.2,35.2,61.0,56.0,73.8,62.03179271708684,51,66.64353741496599,61.11297185540883,50
51,ALB,58.5,Albania,53.193277310924366,2020.0,2872130.0,73.7,98.4,59.0,82.7,94.3,57.3,73.7,84.3,65.1,41.3,88.1,76.6,81.7,90.5,50.3,79.9,63.5,65.9,75.51428571428572,61.797759103641454,52,71.38027210884354,61.02451647325597,51
52,MNE,,Montenegro,52.18487394957983,2020.0,629890.0,70.7,98.8,51.6,75.8,90.2,55.3,65.2,79.1,59.8,61.0,66.7,73.1,69.9,90.0,52.1,54.6,76.0,83.5,72.21428571428571,61.44243697478991,53,67.3251700680272,59.75502200880352,53
53,MNG,60.62500000000001,Mongolia,57.478991596638664,2020.0,3266463.0,64.9,94.9,48.3,64.3,94.9,65.2,64.9,37.2,71.3,36.6,81.1,47.9,67.9,51.9,,75.0,64.1,73.0,55.75714285714285,61.0013305322129,54,53.75170068027211,57.285230758970265,70
54,CUB,56.25,Cuba,50.33613445378151,2020.0,11309236.0,75.9,,61.2,84.4,92.3,83.1,73.2,76.6,93.4,39.9,,64.7,88.4,92.1,75.3,64.4,60.9,87.9,75.18333333333334,60.82871148459384,55,72.10555555555555,59.56389666977902,54
55,JAM,64.125,Jamaica,48.65546218487395,2020.0,2814473.0,69.7,87.9,59.1,77.9,81.8,77.4,70.1,64.2,76.9,50.6,25.6,87.9,84.0,91.4,61.9,55.7,64.1,68.4,67.78571428571429,60.82682072829132,56,64.34149659863945,59.040652927837804,56
56,OMN,55.125,Oman,59.2436974789916,2020.0,4589136.0,67.8,,58.0,83.5,93.2,36.4,50.5,67.0,80.6,62.8,,83.3,73.7,37.3,77.9,62.7,76.8,73.0,69.08333333333333,60.72289915966386,57,62.27301587301587,58.880571117335826,58
57,KAZ,59.12500000000001,Kazakhstan,50.840336134453786,2020.0,18861057.0,71.7,98.5,53.7,79.6,86.2,75.2,72.4,61.8,73.1,47.7,96.3,86.3,78.5,56.6,,62.6,61.8,57.2,71.62857142857143,60.55511204481794,58,65.44149659863946,58.46894424436442,60
58,MDA,57.250000000000014,Moldova,46.63865546218487,2020.0,3095024.0,77.7,98.5,55.4,76.9,99.4,68.5,70.4,79.0,70.6,37.8,99.6,85.0,79.1,90.8,,89.2,65.4,77.0,77.1,60.529551820728294,59,70.50272108843538,58.13045885020676,62
59,BLR,58.50000000000001,Belarus,43.10924369747899,2020.0,9661044.0,78.4,99.1,64.3,83.4,95.2,78.8,83.3,70.3,67.2,54.5,100.0,85.0,71.7,68.8,,94.1,64.6,74.7,75.6,60.003081232493,60,70.39047619047618,57.333239962651724,68
60,DOM,58.875,Dominican Republic,48.0672268907563,2020.0,10939347.0,72.8,94.6,75.3,65.8,92.2,70.5,67.6,69.1,75.4,46.7,54.7,84.3,82.3,92.2,83.8,74.1,54.2,55.1,69.74285714285715,59.91407563025209,61,62.0156462585034,56.31929104975324,76
61,MKD,58.99999999999999,North Macedonia,48.23529411764706,2020.0,2114024.0,72.5,95.1,62.8,75.7,66.6,58.0,71.8,69.9,68.3,45.9,81.5,67.8,80.6,91.0,,81.2,72.4,70.8,71.44285714285715,59.91176470588235,62,65.18163265306123,57.47230892356942,66
62,VNM,58.00000000000001,Vietnam,49.66386554621849,2020.0,96203595.0,71.8,95.4,73.1,69.6,97.8,71.7,74.3,69.0,75.7,52.4,70.4,83.1,89.1,92.1,47.6,41.6,60.4,57.9,73.1857142857143,59.82128851540616,63,66.57414965986395,58.079338402027474,63
63,SRB,57.875,Serbia,43.865546218487395,2020.0,7384063.0,77.5,100.0,77.2,81.6,94.2,64.5,75.0,71.4,79.7,65.3,75.3,73.2,84.3,85.5,,60.7,68.7,83.6,76.0,59.746848739495796,64,68.05986394557823,56.600136721355206,73
64,BHS,,Bahamas,58.31932773109244,2020.0,405779.0,60.6,,63.4,81.7,58.0,68.8,48.8,70.8,64.0,56.3,,93.8,52.9,69.7,59.0,41.9,54.0,25.8,72.71666666666667,59.45966386554622,65,66.99761904761905,62.65847338935575,47
65,SUR,,Suriname,49.747899159663866,2020.0,603805.0,69.1,,62.6,68.7,73.3,66.5,71.4,70.6,53.2,32.4,,83.4,81.7,89.2,76.9,78.0,63.5,64.4,66.25,59.42394957983193,66,64.48095238095237,57.11442577030812,71
66,BRN,,Brunei,54.537815126050425,2020.0,439893.0,64.1,,57.5,85.3,96.9,61.5,59.2,62.9,68.5,74.8,,99.9,48.4,1.3,49.7,67.6,63.8,64.1,65.45,59.318907563025206,67,63.352380952380955,58.945098039215694,57
67,KWT,57.37500000000001,Kuwait,56.97478991596638,2020.0,4468361.0,63.4,,67.6,85.6,84.0,53.3,55.0,68.8,76.3,61.5,,65.8,62.0,32.4,47.1,52.8,75.4,63.6,65.06666666666666,59.2499299719888,68,63.55079365079365,59.30019452225335,55
68,ARM,59.0,Armenia,44.53781512605042,2020.0,2812496.0,74.1,94.4,53.0,76.8,77.0,63.4,65.6,74.4,72.5,45.2,100.0,76.8,88.4,92.1,,61.9,79.3,64.5,76.82857142857142,59.212605042016804,69,70.51904761904763,58.018954248366015,65
69,GEO,62.000000000000014,Georgia,40.504201680672274,2020.0,3769183.0,74.5,80.3,55.2,75.1,99.4,62.3,80.3,79.8,72.8,50.5,75.2,83.9,85.7,91.1,61.1,68.9,76.4,68.9,75.48571428571428,59.00140056022409,70,69.7421768707483,57.41545951714019,67
70,UKR,58.74999999999999,Ukraine,43.19327731092437,2020.0,44090693.0,75.0,,65.1,76.9,91.9,67.7,76.1,70.7,75.3,45.3,100.0,79.8,84.5,85.6,61.7,79.6,63.4,76.1,76.22857142857143,58.98109243697479,71,69.94013605442177,57.294471121782045,69
71,MDV,,Maldives,46.63865546218487,2020.0,510890.0,71.3,100.0,44.5,87.2,96.3,38.1,73.7,64.2,71.8,46.9,92.7,80.3,74.7,89.9,59.1,52.7,71.7,68.8,76.14285714285714,58.969327731092434,72,66.42380952380952,56.5312324929972,75
72,THA,60.25,Thailand,42.016806722689076,2020.0,71389374.0,73.8,98.5,58.4,79.4,97.5,70.7,76.0,72.7,75.0,63.1,73.2,82.5,79.5,81.6,63.5,58.2,63.0,61.3,75.35714285714286,58.688935574229696,73,67.38571428571429,56.550840336134456,74
73,CHN,59.75,China,44.621848739495796,2020.0,1423998019.0,71.6,96.5,83.3,83.1,99.5,78.0,69.0,67.7,76.6,78.4,34.9,79.5,87.0,78.5,55.5,49.4,59.8,40.8,71.24285714285715,58.65728291316526,74,63.39523809523809,55.92236227824463,78
74,CPV,,Cape Verde,49.2436974789916,2020.0,579933.0,67.7,78.8,44.8,75.3,79.0,68.4,67.4,61.9,56.9,39.1,41.6,79.5,81.3,97.3,56.9,70.9,80.3,71.4,64.51428571428572,58.4718487394958,75,58.44897959183674,53.84633853541417,93
75,,58.25,,,,,,,,,,,,,,,,,,,,,,,,58.25,76,,58.25,61
76,PRY,60.12499999999999,Paraguay,45.882352941176464,2020.0,6573039.0,68.7,94.3,75.3,72.3,76.0,66.3,76.5,85.0,72.0,39.2,35.7,78.0,80.2,92.1,,51.9,48.5,56.3,67.75714285714285,58.23578431372548,77,61.62993197278912,55.879094971321855,80
77,BWA,58.0,Botswana,53.69747899159664,2020.0,2523541.0,62.2,62.0,44.9,49.9,65.8,69.0,68.1,48.8,63.3,52.6,13.7,74.6,84.7,89.4,,74.3,65.1,68.5,56.04285714285714,57.96582633053222,78,47.012244897959185,52.90324129651861,101
78,FJI,,Fiji,42.94117647058823,2020.0,918091.0,72.8,86.2,59.4,71.3,98.0,57.8,72.4,63.4,52.0,59.6,88.1,94.0,85.2,96.1,73.1,45.6,76.2,59.2,74.92857142857143,57.870588235294115,79,67.78571428571429,55.36344537815126,82
79,BTN,,Bhutan,44.20168067226891,2020.0,770004.0,71.4,93.1,57.8,72.9,68.7,60.4,69.6,73.9,70.9,41.2,64.4,84.6,88.1,90.0,,65.7,83.1,58.5,71.12857142857145,57.800840336134456,80,63.53741496598639,53.86954781912765,92
80,BRA,61.75,Brazil,38.739495798319325,2020.0,212564935.0,72.9,92.6,70.1,78.4,85.8,69.2,86.1,90.6,70.7,66.7,19.9,76.4,83.5,94.2,63.8,59.2,58.4,73.9,70.98571428571428,57.79649859943978,81,67.83469387755102,56.10806322529012,77
81,IDN,59.25000000000001,Indonesia,44.87394957983194,2020.0,270825848.0,69.2,82.7,66.3,65.2,92.2,63.3,70.1,64.5,76.5,48.1,62.7,70.9,89.2,92.5,69.6,46.5,65.9,51.0,68.62857142857142,57.774649859943985,82,60.657823129251696,54.92725756969455,86
82,GUY,,Guyana,46.890756302521005,2020.0,791842.0,68.6,91.1,66.4,66.2,89.9,64.9,69.2,61.9,69.7,35.2,,84.1,86.1,82.4,37.0,73.0,55.9,64.1,66.58333333333333,57.745378151260496,83,62.900000000000006,54.8953781512605,87
83,BLZ,,Belize,48.65546218487395,2020.0,392426.0,66.8,55.8,67.1,74.2,78.8,56.4,68.3,76.3,64.6,36.9,,76.4,77.5,93.0,70.7,50.0,55.1,68.5,70.23333333333333,57.72773109243697,84,67.42619047619047,58.04082633053221,64
84,RUS,59.25,Russia,39.83193277310925,2020.0,145761663.0,74.0,98.8,59.5,79.3,97.1,67.1,75.1,64.4,79.4,75.4,79.0,86.1,80.7,71.4,53.4,66.1,51.8,73.3,76.42857142857143,57.69397759103642,85,68.65578231292518,55.91257169534481,79
85,ECU,59.875,Ecuador,42.77310924369748,2020.0,17487163.0,70.2,81.1,56.8,78.1,92.4,78.6,75.3,74.4,72.8,47.9,22.1,74.5,84.7,93.3,80.1,58.3,57.9,65.1,66.15714285714286,57.616036414565826,86,61.60272108843537,54.75027677737762,88
